fips,county,state_ab
21161,MASON,KY
21163,MEADE,KY
21165,MENIFEE,KY
21167,MERCER,KY
21169,METCALFE,KY
21171,MONROE,KY
21173,MONTGOMERY,KY
21175,MORGAN,KY
21177,MUHLENBERG,KY
21179,NELSON,KY
21181,NICHOLAS,KY
21183,OHIO,KY
21185,OLDHAM,KY
21187,OWEN,KY
21189,OWSLEY,KY
21191,PENDLETON,KY
21193,PERRY,KY
21195,PIKE,KY
21197,POWELL,KY
21199,PULASKI,KY
21201,ROBERTSON,KY
21203,ROCKCASTLE,KY
21205,ROWAN,KY
21207,RUSSELL,KY
21209,SCOTT,KY
21211,SHELBY,KY
21213,SIMPSON,KY
21215,SPENCER,KY
21217,TAYLOR,KY
21219,TODD,KY
21221,TRIGG,KY
21223,TRIMBLE,KY
21225,UNION,KY
21227,WARREN,KY
21229,WASHINGTON,KY
21231,WAYNE,KY
21233,WEBSTER,KY
21235,WHITLEY,KY
21237,WOLFE,KY
21239,WOODFORD,KY
22000,LOUISIANA,
22001,ACADIA,LA
22003,ALLEN,LA
22005,ASCENSION,LA
22007,ASSUMPTION,LA
22009,AVOYELLES,LA
22011,BEAUREGARD,LA
22013,BIENVILLE,LA
22015,BOSSIER,LA
22017,CADDO,LA
22019,CALCASIEU,LA
22021,CALDWELL,LA
22023,CAMERON,LA
22025,CATAHOULA,LA
22027,CLAIBORNE,LA
22029,CONCORDIA,LA
22031,DE SOTO,LA
22033,EAST BATON ROUGE,LA
22035,EAST CARROLL,LA
22037,EAST FELICIANA,LA
22039,EVANGELINE,LA
22041,FRANKLIN,LA
22043,GRANT,LA
22045,IBERIA,LA
22047,IBERVILLE,LA
22049,JACKSON,LA
22051,JEFFERSON,LA
22053,JEFFERSON DAVIS,LA
22055,LAFAYETTE,LA
22057,LAFOURCHE,LA
22059,LA SALLE,LA
22061,LINCOLN,LA
22063,LIVINGSTON,LA
22065,MADISON,LA
22067,MOREHOUSE,LA
22069,NATCHITOCHES,LA
22071,ORLEANS,LA
22073,OUACHITA,LA
22075,PLAQUEMINES,LA
22077,POINTE COUPEE,LA
22079,RAPIDES,LA
22081,RED RIVER,LA
22083,RICHLAND,LA
22085,SABINE,LA
22087,ST. BERNARD,LA
22089,ST. CHARLES,LA
22091,ST. HELENA,LA
22093,ST. JAMES,LA
22095,ST. JOHN THE BAPTIST,LA
22097,ST. LANDRY,LA
22099,ST. MARTIN,LA
22101,ST. MARY,LA
22103,ST. TAMMANY,LA
22105,TANGIPAHOA,LA
22107,TENSAS,LA
22109,TERREBONNE,LA
22111,UNION,LA
22113,VERMILION,LA
22115,VERNON,LA
22117,WASHINGTON,LA
22119,WEBSTER,LA
22121,WEST BATON ROUGE,LA
22123,WEST CARROLL,LA
22125,WEST FELICIANA,LA
22127,WINN,LA
23000,MAINE,
23001,ANDROSCOGGIN,ME
23003,AROOSTOOK,ME
23005,CUMBERLAND,ME
23007,FRANKLIN,ME
23009,HANCOCK,ME
23011,KENNEBEC,ME
23013,KNOX,ME
23015,LINCOLN,ME
23017,OXFORD,ME
23019,PENOBSCOT,ME
23021,PISCATAQUIS,ME
23023,SAGADAHOC,ME
23025,SOMERSET,ME
23027,WALDO,ME
23029,WASHINGTON,ME
23031,YORK,ME
24000,MARYLAND,
24001,ALLEGANY,MD
24003,ANNE ARUNDEL,MD
24005,BALTIMORE,MD
24009,CALVERT,MD
24011,CAROLINE,MD
24013,CARROLL,MD
24015,CECIL,MD
24017,CHARLES,MD
24019,DORCHESTER,MD
24021,FREDERICK,MD
24023,GARRETT,MD
24025,HARFORD,MD
24027,HOWARD,MD
24029,KENT,MD
24031,MONTGOMERY,MD
24033,PRINCE GEORGE'S,MD
24035,QUEEN ANNE'S,MD
24037,ST. MARY'S,MD
24039,SOMERSET,MD
24041,TALBOT,MD
24043,WASHINGTON,MD
24045,WICOMICO,MD
24047,WORCESTER,MD
24510,BALTIMORE CITY,MD
25000,MASSACHUSETTS,
25001,BARNSTABLE,MA
25003,BERKSHIRE,MA
25005,BRISTOL,MA
25007,DUKES,MA
25009,ESSEX,MA
25011,FRANKLIN,MA
25013,HAMPDEN,MA
25015,HAMPSHIRE,MA
25017,MIDDLESEX,MA
25019,NANTUCKET,MA
25021,NORFOLK,MA
25023,PLYMOUTH,MA
25025,SUFFOLK,MA
25027,WORCESTER,MA
26000,MICHIGAN,
26001,ALCONA,MI
26003,ALGER,MI
26005,ALLEGAN,MI
26007,ALPENA,MI
26009,ANTRIM,MI
26011,ARENAC,MI
26013,BARAGA,MI
26015,BARRY,MI
26017,BAY,MI
26019,BENZIE,MI
26021,BERRIEN,MI
26023,BRANCH,MI
26025,CALHOUN,MI
26027,CASS,MI
26029,CHARLEVOIX,MI
26031,CHEBOYGAN,MI
26033,CHIPPEWA,MI
26035,CLARE,MI
26037,CLINTON,MI
26039,CRAWFORD,MI
26041,DELTA,MI
26043,DICKINSON,MI
26045,EATON,MI
26047,EMMET,MI
26049,GENESEE,MI
26051,GLADWIN,MI
26053,GOGEBIC,MI
26055,GRAND TRAVERSE,MI
26057,GRATIOT,MI
26059,HILLSDALE,MI
26061,HOUGHTON,MI
26063,HURON,MI
26065,INGHAM,MI
26067,IONIA,MI
26069,IOSCO,MI
26071,IRON,MI
26073,ISABELLA,MI
26075,JACKSON,MI
26077,KALAMAZOO,MI
26079,KALKASKA,MI
26081,KENT,MI
26083,KEWEENAW,MI
26085,LAKE,MI
26087,LAPEER,MI
26089,LEELANAU,MI
26091,LENAWEE,MI
26093,LIVINGSTON,MI
26095,LUCE,MI
26097,MACKINAC,MI
26099,MACOMB,MI
26101,MANISTEE,MI
26103,MARQUETTE,MI
26105,MASON,MI
26107,MECOSTA,MI
26109,MENOMINEE,MI
26111,MIDLAND,MI
26113,MISSAUKEE,MI
26115,MONROE,MI
26117,MONTCALM,MI
26119,MONTMORENCY,MI
26121,MUSKEGON,MI
26123,NEWAYGO,MI
26125,OAKLAND,MI
26127,OCEANA,MI
26129,OGEMAW,MI
26131,ONTONAGON,MI
26133,OSCEOLA,MI
26135,OSCODA,MI
26137,OTSEGO,MI
26139,OTTAWA,MI
26141,PRESQUE ISLE,MI
26143,ROSCOMMON,MI
26145,SAGINAW,MI
26147,ST. CLAIR,MI
26149,ST. JOSEPH,MI
26151,SANILAC,MI
26153,SCHOOLCRAFT,MI
26155,SHIAWASSEE,MI
26157,TUSCOLA,MI
26159,VAN BUREN,MI
26161,WASHTENAW,MI
26163,WAYNE,MI
26165,WEXFORD,MI
27000,MINNESOTA,
27001,AITKIN,MN
27003,ANOKA,MN
27005,BECKER,MN
27007,BELTRAMI,MN
27009,BENTON,MN
27011,BIG STONE,MN
27013,BLUE EARTH,MN
27015,BROWN,MN
27017,CARLTON,MN
27019,CARVER,MN
27021,CASS,MN
27023,CHIPPEWA,MN
27025,CHISAGO,MN
27027,CLAY,MN
27029,CLEARWATER,MN
27031,COOK,MN
27033,COTTONWOOD,MN
27035,CROW WING,MN
27037,DAKOTA,MN
27039,DODGE,MN
27041,DOUGLAS,MN
27043,FARIBAULT,MN
27045,FILLMORE,MN
27047,FREEBORN,MN
27049,GOODHUE,MN
27051,GRANT,MN
27053,HENNEPIN,MN
27055,HOUSTON,MN
27057,HUBBARD,MN
27059,ISANTI,MN
27061,ITASCA,MN
27063,JACKSON,MN
27065,KANABEC,MN
27067,KANDIYOHI,MN
27069,KITTSON,MN
27071,KOOCHICHING,MN
27073,LAC QUI PARLE,MN
27075,LAKE,MN
27077,LAKE OF THE WOODS,MN
27079,LE SUEUR,MN
27081,LINCOLN,MN
27083,LYON,MN
27085,MCLEOD,MN
27087,MAHNOMEN,MN
27089,MARSHALL,MN
27091,MARTIN,MN
27093,MEEKER,MN
27095,MILLE LACS,MN
27097,MORRISON,MN
27099,MOWER,MN
27101,MURRAY,MN
27103,NICOLLET,MN
27105,NOBLES,MN
27107,NORMAN,MN
27109,OLMSTED,MN
27111,OTTER TAIL,MN
27113,PENNINGTON,MN
27115,PINE,MN
27117,PIPESTONE,MN
27119,POLK,MN
27121,POPE,MN
27123,RAMSEY,MN
27125,RED LAKE,MN
27127,REDWOOD,MN
27129,RENVILLE,MN
27131,RICE,MN
27133,ROCK,MN
27135,ROSEAU,MN
27137,ST. LOUIS,MN
27139,SCOTT,MN
27141,SHERBURNE,MN
27143,SIBLEY,MN
27145,STEARNS,MN
27147,STEELE,MN
27149,STEVENS,MN
27151,SWIFT,MN
27153,TODD,MN
27155,TRAVERSE,MN
27157,WABASHA,MN
27159,WADENA,MN
27161,WASECA,MN
27163,WASHINGTON,MN
27165,WATONWAN,MN
27167,WILKIN,MN
27169,WINONA,MN
27171,WRIGHT,MN
27173,YELLOW MEDICINE,MN
28000,MISSISSIPPI,
28001,ADAMS,MS
28003,ALCORN,MS
28005,AMITE,MS
28007,ATTALA,MS
28009,BENTON,MS
28011,BOLIVAR,MS
28013,CALHOUN,MS
28015,CARROLL,MS
28017,CHICKASAW,MS
28019,CHOCTAW,MS
28021,CLAIBORNE,MS
28023,CLARKE,MS
28025,CLAY,MS
28027,COAHOMA,MS
28029,COPIAH,MS
28031,COVINGTON,MS
28033,DESOTO,MS
28035,FORREST,MS
28037,FRANKLIN,MS
28039,GEORGE,MS
28041,GREENE,MS
28043,GRENADA,MS
28045,HANCOCK,MS
28047,HARRISON,MS
28049,HINDS,MS
28051,HOLMES,MS
28053,HUMPHREYS,MS
28055,ISSAQUENA,MS
28057,ITAWAMBA,MS
28059,JACKSON,MS
28061,JASPER,MS
28063,JEFFERSON,MS
28065,JEFFERSON DAVIS,MS
28067,JONES,MS
28069,KEMPER,MS
28071,LAFAYETTE,MS
28073,LAMAR,MS
28075,LAUDERDALE,MS
28077,LAWRENCE,MS
28079,LEAKE,MS
28081,LEE,MS
28083,LEFLORE,MS
28085,LINCOLN,MS
28087,LOWNDES,MS
28089,MADISON,MS
28091,MARION,MS
28093,MARSHALL,MS
28095,MONROE,MS
28097,MONTGOMERY,MS
28099,NESHOBA,MS
28101,NEWTON,MS
28103,NOXUBEE,MS
28105,OKTIBBEHA,MS
28107,PANOLA,MS
28109,PEARL RIVER,MS
28111,PERRY,MS
28113,PIKE,MS
28115,PONTOTOC,MS
28117,PRENTISS,MS
28119,QUITMAN,MS
28121,RANKIN,MS
28123,SCOTT,MS
28125,SHARKEY,MS
28127,SIMPSON,MS
28129,SMITH,MS
28131,STONE,MS
28133,SUNFLOWER,MS
28135,TALLAHATCHIE,MS
28137,TATE,MS
28139,TIPPAH,MS
28141,TISHOMINGO,MS
28143,TUNICA,MS
28145,UNION,MS
28147,WALTHALL,MS
28149,WARREN,MS
28151,WASHINGTON,MS
28153,WAYNE,MS
28155,WEBSTER,MS
28157,WILKINSON,MS
28159,WINSTON,MS
28161,YALOBUSHA,MS
28163,YAZOO,MS
29000,MISSOURI,
29001,ADAIR,MO
29003,ANDREW,MO
29005,ATCHISON,MO
29007,AUDRAIN,MO
29009,BARRY,MO
29011,BARTON,MO
29013,BATES,MO
29015,BENTON,MO
29017,BOLLINGER,MO
29019,BOONE,MO
29021,BUCHANAN,MO
29023,BUTLER,MO
29025,CALDWELL,MO
29027,CALLAWAY,MO
29029,CAMDEN,MO
29031,CAPE GIRARDEAU,MO
29033,CARROLL,MO
29035,CARTER,MO
29037,CASS,MO
29039,CEDAR,MO
29041,CHARITON,MO
29043,CHRISTIAN,MO
29045,CLARK,MO
29047,CLAY,MO
29049,CLINTON,MO
29051,COLE,MO
29053,COOPER,MO
29055,CRAWFORD,MO
29057,DADE,MO
29059,DALLAS,MO
29061,DAVIESS,MO
29063,DEKALB,MO
29065,DENT,MO
29067,DOUGLAS,MO
29069,DUNKLIN,MO
29071,FRANKLIN,MO
29073,GASCONADE,MO
29075,GENTRY,MO
29077,GREENE,MO
29079,GRUNDY,MO
29081,HARRISON,MO
29083,HENRY,MO
29085,HICKORY,MO
29087,HOLT,MO
29089,HOWARD,MO
29091,HOWELL,MO
29093,IRON,MO
29095,JACKSON,MO
29097,JASPER,MO
29099,JEFFERSON,MO
29101,JOHNSON,MO
29103,KNOX,MO
29105,LACLEDE,MO
29107,LAFAYETTE,MO
29109,LAWRENCE,MO
29111,LEWIS,MO
29113,LINCOLN,MO
29115,LINN,MO
29117,LIVINGSTON,MO
29119,MCDONALD,MO
29121,MACON,MO
29123,MADISON,MO
29125,MARIES,MO
29127,MARION,MO
29129,MERCER,MO
29131,MILLER,MO
29133,MISSISSIPPI,MO
29135,MONITEAU,MO
29137,MONROE,MO
29139,MONTGOMERY,MO
29141,MORGAN,MO
29143,NEW MADRID,MO
29145,NEWTON,MO
29147,NODAWAY,MO
29149,OREGON,MO
29151,OSAGE,MO
29153,OZARK,MO
29155,PEMISCOT,MO
29157,PERRY,MO
29159,PETTIS,MO
29161,PHELPS,MO
29163,PIKE,MO
29165,PLATTE,MO
29167,POLK,MO
29169,PULASKI,MO
29171,PUTNAM,MO
29173,RALLS,MO
29175,RANDOLPH,MO
29177,RAY,MO
29179,REYNOLDS,MO
29181,RIPLEY,MO
29183,ST. CHARLES,MO
29185,ST. CLAIR,MO
29186,STE. GENEVIEVE,MO
29187,ST. FRANCOIS,MO
29189,ST. LOUIS,MO
29195,SALINE,MO
29197,SCHUYLER,MO
29199,SCOTLAND,MO
29201,SCOTT,MO
29203,SHANNON,MO
29205,SHELBY,MO
29207,STODDARD,MO
29209,STONE,MO
29211,SULLIVAN,MO
29213,TANEY,MO
29215,TEXAS,MO
29217,VERNON,MO
29219,WARREN,MO
29221,WASHINGTON,MO
29223,WAYNE,MO
29225,WEBSTER,MO
29227,WORTH,MO
29229,WRIGHT,MO
29510,ST. LOUIS CITY,MO
30000,MONTANA,
30001,BEAVERHEAD,MT
30003,BIG HORN,MT
30005,BLAINE,MT
30007,BROADWATER,MT
30009,CARBON,MT
30011,CARTER,MT
30013,CASCADE,MT
30015,CHOUTEAU,MT
30017,CUSTER,MT
30019,DANIELS,MT
30021,DAWSON,MT
30023,DEER LODGE,MT
30025,FALLON,MT
30027,FERGUS,MT
30029,FLATHEAD,MT
30031,GALLATIN,MT
30033,GARFIELD,MT
30035,GLACIER,MT
30037,GOLDEN VALLEY,MT
30039,GRANITE,MT
30041,HILL,MT
30043,JEFFERSON,MT
30045,JUDITH BASIN,MT
30047,LAKE,MT
30049,LEWIS AND CLARK,MT
30051,LIBERTY,MT
30053,LINCOLN,MT
30055,MCCONE,MT
30057,MADISON,MT
30059,MEAGHER,MT
30061,MINERAL,MT
30063,MISSOULA,MT
30065,MUSSELSHELL,MT
30067,PARK,MT
30069,PETROLEUM,MT
30071,PHILLIPS,MT
30073,PONDERA,MT
30075,POWDER RIVER,MT
30077,POWELL,MT
30079,PRAIRIE,MT
30081,RAVALLI,MT
30083,RICHLAND,MT
30085,ROOSEVELT,MT
30087,ROSEBUD,MT
30089,SANDERS,MT
30091,SHERIDAN,MT
30093,SILVER BOW,MT
30095,STILLWATER,MT
30097,SWEET GRASS,MT
30099,TETON,MT
30101,TOOLE,MT
30103,TREASURE,MT
30105,VALLEY,MT
30107,WHEATLAND,MT
30109,WIBAUX,MT
30111,YELLOWSTONE,MT
31000,NEBRASKA,
31001,ADAMS,NE
31003,ANTELOPE,NE
31005,ARTHUR,NE
31007,BANNER,NE
31009,BLAINE,NE
31011,BOONE,NE
31013,BOX BUTTE,NE
31015,BOYD,NE
31017,BROWN,NE
31019,BUFFALO,NE
31021,BURT,NE
31023,BUTLER,NE
31025,CASS,NE
31027,CEDAR,NE
31029,CHASE,NE
31031,CHERRY,NE
31033,CHEYENNE,NE
31035,CLAY,NE
31037,COLFAX,NE
31039,CUMING,NE
31041,CUSTER,NE
31043,DAKOTA,NE
31045,DAWES,NE
31047,DAWSON,NE
31049,DEUEL,NE
31051,DIXON,NE
31053,DODGE,NE
31055,DOUGLAS,NE
31057,DUNDY,NE
31059,FILLMORE,NE
31061,FRANKLIN,NE
31063,FRONTIER,NE
31065,FURNAS,NE
31067,GAGE,NE
31069,GARDEN,NE
31071,GARFIELD,NE
31073,GOSPER,NE
31075,GRANT,NE
31077,GREELEY,NE
31079,HALL,NE
31081,HAMILTON,NE
31083,HARLAN,NE
31085,HAYES,NE
31087,HITCHCOCK,NE
31089,HOLT,NE
31091,HOOKER,NE
31093,HOWARD,NE
31095,JEFFERSON,NE
31097,JOHNSON,NE
31099,KEARNEY,NE
31101,KEITH,NE
31103,KEYA PAHA,NE
31105,KIMBALL,NE
31107,KNOX,NE
31109,LANCASTER,NE
31111,LINCOLN,NE
31113,LOGAN,NE
31115,LOUP,NE
31117,MCPHERSON,NE
31119,MADISON,NE
31121,MERRICK,NE
31123,MORRILL,NE
31125,NANCE,NE
31127,NEMAHA,NE
31129,NUCKOLLS,NE
31131,OTOE,NE
31133,PAWNEE,NE
31135,PERKINS,NE
31137,PHELPS,NE
31139,PIERCE,NE
31141,PLATTE,NE
31143,POLK,NE
31145,RED WILLOW,NE
31147,RICHARDSON,NE
31149,ROCK,NE
31151,SALINE,NE
31153,SARPY,NE
31155,SAUNDERS,NE
31157,SCOTTS BLUFF,NE
31159,SEWARD,NE
31161,SHERIDAN,NE
31163,SHERMAN,NE
31165,SIOUX,NE
31167,STANTON,NE
31169,THAYER,NE
31171,THOMAS,NE
31173,THURSTON,NE
31175,VALLEY,NE
31177,WASHINGTON,NE
31179,WAYNE,NE
31181,WEBSTER,NE
31183,WHEELER,NE
31185,YORK,NE
32000,NEVADA,
32001,CHURCHILL,NV
32003,CLARK,NV
32005,DOUGLAS,NV
32007,ELKO,NV
32009,ESMERALDA,NV
32011,EUREKA,NV
32013,HUMBOLDT,NV
32015,LANDER,NV
32017,LINCOLN,NV
32019,LYON,NV
32021,MINERAL,NV
32023,NYE,NV
32027,PERSHING,NV
32029,STOREY,NV
32031,WASHOE,NV
32033,WHITE PINE,NV
32510,CARSON CITY,NV
33000,NEW HAMPSHIRE,
33001,BELKNAP,NH
33003,CARROLL,NH
33005,CHESHIRE,NH
33007,COOS,NH
33009,GRAFTON,NH
33011,HILLSBOROUGH,NH
33013,MERRIMACK,NH
33015,ROCKINGHAM,NH
33017,STRAFFORD,NH
33019,SULLIVAN,NH
34000,NEW JERSEY,
34001,ATLANTIC,NJ
34003,BERGEN,NJ
34005,BURLINGTON,NJ
34007,CAMDEN,NJ
34009,CAPE MAY,NJ
34011,CUMBERLAND,NJ
34013,ESSEX,NJ
34015,GLOUCESTER,NJ
34017,HUDSON,NJ
34019,HUNTERDON,NJ
34021,MERCER,NJ
34023,MIDDLESEX,NJ
34025,MONMOUTH,NJ
34027,MORRIS,NJ
34029,OCEAN,NJ
34031,PASSAIC,NJ
34033,SALEM,NJ
34035,SOMERSET,NJ
34037,SUSSEX,NJ
34039,UNION,NJ
34041,WARREN,NJ
35000,NEW MEXICO,
35001,BERNALILLO,NM
35003,CATRON,NM
35005,CHAVES,NM
35006,CIBOLA,NM
35007,COLFAX,NM
35009,CURRY,NM
35011,DE BACA,NM
35013,DO̱A ANA,NM
35015,EDDY,NM
35017,GRANT,NM
35019,GUADALUPE,NM
35021,HARDING,NM
35023,HIDALGO,NM
35025,LEA,NM
35027,LINCOLN,NM
35028,LOS ALAMOS,NM
35029,LUNA,NM
35031,MCKINLEY,NM
35033,MORA,NM
35035,OTERO,NM
35037,QUAY,NM
35039,RIO ARRIBA,NM
35041,ROOSEVELT,NM
35043,SANDOVAL,NM
35045,SAN JUAN,NM
35047,SAN MIGUEL,NM
35049,SANTA FE,NM
35051,SIERRA,NM
35053,SOCORRO,NM
35055,TAOS,NM
35057,TORRANCE,NM
35059,UNION,NM
35061,VALENCIA,NM
36000,NEW YORK,
36001,ALBANY,NY
36003,ALLEGANY,NY
36005,BRONX,NY
36007,BROOME,NY
36009,CATTARAUGUS,NY
36011,CAYUGA,NY
36013,CHAUTAUQUA,NY
36015,CHEMUNG,NY
36017,CHENANGO,NY
36019,CLINTON,NY
36021,COLUMBIA,NY
36023,CORTLAND,NY
36025,DELAWARE,NY
36027,DUTCHESS,NY
36029,ERIE,NY
36031,ESSEX,NY
36033,FRANKLIN,NY
36035,FULTON,NY
36037,GENESEE,NY
36039,GREENE,NY
36041,HAMILTON,NY
36043,HERKIMER,NY
36045,JEFFERSON,NY
36047,KINGS,NY
36049,LEWIS,NY
36051,LIVINGSTON,NY
36053,MADISON,NY
36055,MONROE,NY
36057,MONTGOMERY,NY
36059,NASSAU,NY
36061,NEW YORK,NY
36063,NIAGARA,NY
36065,ONEIDA,NY
36067,ONONDAGA,NY
36069,ONTARIO,NY
36071,ORANGE,NY
36073,ORLEANS,NY
36075,OSWEGO,NY
36077,OTSEGO,NY
36079,PUTNAM,NY
36081,QUEENS,NY
36083,RENSSELAER,NY
36085,RICHMOND,NY
36087,ROCKLAND,NY
36089,ST. LAWRENCE,NY
36091,SARATOGA,NY
36093,SCHENECTADY,NY
36095,SCHOHARIE,NY
36097,SCHUYLER,NY
36099,SENECA,NY
36101,STEUBEN,NY
36103,SUFFOLK,NY
36105,SULLIVAN,NY
36107,TIOGA,NY
36109,TOMPKINS,NY
36111,ULSTER,NY
36113,WARREN,NY
36115,WASHINGTON,NY
36117,WAYNE,NY
36119,WESTCHESTER,NY
36121,WYOMING,NY
36123,YATES,NY
37000,NORTH CAROLINA,
37001,ALAMANCE,NC
37003,ALEXANDER,NC
37005,ALLEGHANY,NC
37007,ANSON,NC
37009,ASHE,NC
37011,AVERY,NC
37013,BEAUFORT,NC
37015,BERTIE,NC
37017,BLADEN,NC
37019,BRUNSWICK,NC
37021,BUNCOMBE,NC
37023,BURKE,NC
37025,CABARRUS,NC
37027,CALDWELL,NC
37029,CAMDEN,NC
37031,CARTERET,NC
37033,CASWELL,NC
37035,CATAWBA,NC
37037,CHATHAM,NC
37039,CHEROKEE,NC
37041,CHOWAN,NC
37043,CLAY,NC
37045,CLEVELAND,NC
37047,COLUMBUS,NC
37049,CRAVEN,NC
37051,CUMBERLAND,NC
37053,CURRITUCK,NC
37055,DARE,NC
37057,DAVIDSON,NC
37059,DAVIE,NC
37061,DUPLIN,NC
37063,DURHAM,NC
37065,EDGECOMBE,NC
37067,FORSYTH,NC
37069,FRANKLIN,NC
37071,GASTON,NC
37073,GATES,NC
37075,GRAHAM,NC
37077,GRANVILLE,NC
37079,GREENE,NC
37081,GUILFORD,NC
37083,HALIFAX,NC
37085,HARNETT,NC
37087,HAYWOOD,NC
37089,HENDERSON,NC
37091,HERTFORD,NC
37093,HOKE,NC
37095,HYDE,NC
37097,IREDELL,NC
37099,JACKSON,NC
37101,JOHNSTON,NC
37103,JONES,NC
37105,LEE,NC
37107,LENOIR,NC
37109,LINCOLN,NC
37111,MCDOWELL,NC
37113,MACON,NC
37115,MADISON,NC
37117,MARTIN,NC
37119,MECKLENBURG,NC
37121,MITCHELL,NC
37123,MONTGOMERY,NC
37125,MOORE,NC
37127,NASH,NC
37129,NEW HANOVER,NC
37131,NORTHAMPTON,NC
37133,ONSLOW,NC
37135,ORANGE,NC
37137,PAMLICO,NC
37139,PASQUOTANK,NC
37141,PENDER,NC
37143,PERQUIMANS,NC
37145,PERSON,NC
37147,PITT,NC
37149,POLK,NC
37151,RANDOLPH,NC
37153,RICHMOND,NC
37155,ROBESON,NC
37157,ROCKINGHAM,NC
37159,ROWAN,NC
37161,RUTHERFORD,NC
37163,SAMPSON,NC
37165,SCOTLAND,NC
37167,STANLY,NC
37169,STOKES,NC
37171,SURRY,NC
37173,SWAIN,NC
37175,TRANSYLVANIA,NC
37177,TYRRELL,NC
37179,UNION,NC
37181,VANCE,NC
37183,WAKE,NC
37185,WARREN,NC
37187,WASHINGTON,NC
37189,WATAUGA,NC
37191,WAYNE,NC
37193,WILKES,NC
37195,WILSON,NC
37197,YADKIN,NC
37199,YANCEY,NC
38000,NORTH DAKOTA,
38001,ADAMS,ND
38003,BARNES,ND
38005,BENSON,ND
38007,BILLINGS,ND
38009,BOTTINEAU,ND
38011,BOWMAN,ND
38013,BURKE,ND
38015,BURLEIGH,ND
38017,CASS,ND
38019,CAVALIER,ND
38021,DICKEY,ND
38023,DIVIDE,ND
38025,DUNN,ND
38027,EDDY,ND
38029,EMMONS,ND
38031,FOSTER,ND
38033,GOLDEN VALLEY,ND
38035,GRAND FORKS,ND
38037,GRANT,ND
38039,GRIGGS,ND
38041,HETTINGER,ND
38043,KIDDER,ND
38045,LAMOURE,ND
38047,LOGAN,ND
38049,MCHENRY,ND
38051,MCINTOSH,ND
38053,MCKENZIE,ND
38055,MCLEAN,ND
38057,MERCER,ND
38059,MORTON,ND
38061,MOUNTRAIL,ND
38063,NELSON,ND
38065,OLIVER,ND
38067,PEMBINA,ND
38069,PIERCE,ND
38071,RAMSEY,ND
38073,RANSOM,ND
38075,RENVILLE,ND
38077,RICHLAND,ND
38079,ROLETTE,ND
38081,SARGENT,ND
38083,SHERIDAN,ND
38085,SIOUX,ND
38087,SLOPE,ND
38089,STARK,ND
38091,STEELE,ND
38093,STUTSMAN,ND
38095,TOWNER,ND
38097,TRAILL,ND
38099,WALSH,ND
38101,WARD,ND
38103,WELLS,ND
38105,WILLIAMS,ND
39000,OHIO,
39001,ADAMS,OH
39003,ALLEN,OH
39005,ASHLAND,OH
39007,ASHTABULA,OH
39009,ATHENS,OH
39011,AUGLAIZE,OH
39013,BELMONT,OH
39015,BROWN,OH
39017,BUTLER,OH
39019,CARROLL,OH
39021,CHAMPAIGN,OH
39023,CLARK,OH
39025,CLERMONT,OH
39027,CLINTON,OH
39029,COLUMBIANA,OH
39031,COSHOCTON,OH
39033,CRAWFORD,OH
39035,CUYAHOGA,OH
39037,DARKE,OH
39039,DEFIANCE,OH
39041,DELAWARE,OH
39043,ERIE,OH
39045,FAIRFIELD,OH
39047,FAYETTE,OH
39049,FRANKLIN,OH
39051,FULTON,OH
39053,GALLIA,OH
39055,GEAUGA,OH
39057,GREENE,OH
39059,GUERNSEY,OH
39061,HAMILTON,OH
39063,HANCOCK,OH
39065,HARDIN,OH
39067,HARRISON,OH
39069,HENRY,OH
39071,HIGHLAND,OH
39073,HOCKING,OH
39075,HOLMES,OH
39077,HURON,OH
39079,JACKSON,OH
39081,JEFFERSON,OH
39083,KNOX,OH
39085,LAKE,OH
39087,LAWRENCE,OH
39089,LICKING,OH
39091,LOGAN,OH
39093,LORAIN,OH
39095,LUCAS,OH
39097,MADISON,OH
39099,MAHONING,OH
39101,MARION,OH
39103,MEDINA,OH
39105,MEIGS,OH
39107,MERCER,OH
39109,MIAMI,OH
39111,MONROE,OH
39113,MONTGOMERY,OH
39115,MORGAN,OH
39117,MORROW,OH
39119,MUSKINGUM,OH
39121,NOBLE,OH
39123,OTTAWA,OH
39125,PAULDING,OH
39127,PERRY,OH
39129,PICKAWAY,OH
39131,PIKE,OH
39133,PORTAGE,OH
39135,PREBLE,OH
39137,PUTNAM,OH
39139,RICHLAND,OH
39141,ROSS,OH
39143,SANDUSKY,OH
39145,SCIOTO,OH
39147,SENECA,OH
39149,SHELBY,OH
39151,STARK,OH
39153,SUMMIT,OH
39155,TRUMBULL,OH
39157,TUSCARAWAS,OH
39159,UNION,OH
39161,VAN WERT,OH
39163,VINTON,OH
39165,WARREN,OH
39167,WASHINGTON,OH
39169,WAYNE,OH
39171,WILLIAMS,OH
39173,WOOD,OH
39175,WYANDOT,OH
40000,OKLAHOMA,
40001,ADAIR,OK
40003,ALFALFA,OK
40005,ATOKA,OK
40007,BEAVER,OK
40009,BECKHAM,OK
40011,BLAINE,OK
40013,BRYAN,OK
40015,CADDO,OK
40017,CANADIAN,OK
40019,CARTER,OK
40021,CHEROKEE,OK
40023,CHOCTAW,OK
40025,CIMARRON,OK
40027,CLEVELAND,OK
40029,COAL,OK
40031,COMANCHE,OK
40033,COTTON,OK
40035,CRAIG,OK
